nazwa,nr_katalogowy,producent,kategoria,opakowanie,cena,atrybuty_dodatkowe
Zestaw do izolacji DNA genomowego,PO-10022,PolyLab Systems,,x50,1021 zl,wymaga suchego lodu przy transporcie
Probowki PCR 0.2ml,BI-10137,BioPrime,Plastiki lab.,50 kg,2467 zl,"przechowywanie 4C, chronic przed swiatlem"
Etanol absolutny cz.d.a.,ME-10289,MedioScience,Odczynniki,100 szt,2156,temp. pokojowa
Chloroform cz.d.a.,PO-10296,PolyLab Systems,Chemia laboratoryjna,5 -,3974,temp. pokojowa
Kolumny do izolacji plazmidowego DNA,PO-10029,PolyLab Systems,,50,"1990,00",przechowywanie -20C
Probowki Eppendorf 1.5ml,NO-10158,NovaGen Labs,Laboratory Plasticware,1 kg,3553 zl,
Mix do PCR 2x,ME-10072,MedioScience,PCR reagents,50-pack,4199 PLN,przechowywanie -20C
pH-metr stolowy,CH-10258,ChemTech Supply,Pomiary,10 ml,"3074,00",temp. pokojowa
Bufor PCR 10x,CH-10101,ChemTech Supply,PCR reagents,50,"385,00",wymaga suchego lodu przy transporcie
Vortex laboratoryjny,CH-10274,ChemTech Supply,Aparatura pomiarowa,50 l,2089,przechowywanie -20C
Bufor TBE 10x,NO-10325,NovaGen Labs,Chemicals,100 l,2855,przechowywanie -20C
Plytki 96-dolkowe,ME-10157,MedioScience,Laboratory Plasticware,100 l,"945,00","przechowywanie 4C, chronic przed swiatlem"
Koncowki do pipet 200ul,CH-10148,ChemTech Supply,Plastik laboratoryjny,100 op,973 PLN,przechowywanie -20C
Mix do PCR 2x,NO-10064,NovaGen Labs,,x50,"3255,00","przechowywanie 4C, chronic przed swiatlem"
Termocykler PCR,PO-10206,PolyLab Systems,Pomiary,10 op,2931 PLN,
SDS 10% roztwor,PO-10337,PolyLab Systems,Odczynniki chemiczne,10 g,"2337,00",
Izopropanol cz.d.a.,PO-10319,PolyLab Systems,Odczynniki chemiczne,10 op,2250,wymaga suchego lodu przy transporcie
pH-metr stolowy,BI-10255,BioPrime,Sprzet pomiarowy,10 l,"493,00",
Vortex laboratoryjny,BI-10273,BioPrime,Sprzet pomiarowy,100 -,"681,00",wymaga suchego lodu przy transporcie
Polimeraza Taq,CH-10078,ChemTech Supply,PCR - odczynniki,50szt,"4119,00","przechowywanie 4C, chronic przed swiatlem"
Plytki PCR 96-dolkowe,BI-10174,BioPrime,,10 ml,1188,
Startery losowe do RT,PO-10117,PolyLab Systems,Odczynniki PCR,50szt,2317 zl,wymaga suchego lodu przy transporcie
Bufor TBE 10x,CH-10327,ChemTech Supply,Odczynniki chemiczne,100 szt,455 zl,przechowywanie -20C
Kit do izolacji RNA z krwi,ME-10017,MedioScience,,50 szt.,3421 zl,
Master Mix do RT-PCR,ME-10096,MedioScience,Odczynniki PCR,50 rxn,"3185,00",przechowywanie -20C
Termostat blokowy,NO-10263,NovaGen Labs,Aparatura pomiarowa,10 g,3029,przechowywanie -20C
Probowki PCR 0.2ml,CH-10138,ChemTech Supply,Plastiki lab.,50 -,,
Kit izolacji DNA z probek FFPE,PO-10044,PolyLab Systems,izolacja DNA/RNA,50-pack,821,termin waznosci 12 mies. od daty produkcji
Czytnik plytek ELISA,NO-10246,NovaGen Labs,Measuring Equipment,50 op,3617 zl,temp. pokojowa
Izopropanol cz.d.a.,NO-10316,NovaGen Labs,,25 l,"2595,00",temp. pokojowa
Agaroza do elektroforezy,PO-10346,PolyLab Systems,,25 ml,3799 zl,
Pipeta automatyczna 100-1000ul,CH-10214,ChemTech Supply,,1 kg,3932,
Plytki 96-dolkowe,PO-10156,PolyLab Systems,Plastik laboratoryjny,100 g,"551,00",wymaga suchego lodu przy transporcie
