sku,name,manufacturer,category,package_raw,price,attributes,package_quantity,package_unit,currency,description,specs
BI-10002,Zestaw do izolacji DNA z tkanek,BioPrime,Nucleic Acid Isolation,50 rxn,1955.00,przechowywanie -20C,50.0,pcs,PLN,,[]
BI-10010,Kit do izolacji RNA z krwi,BioPrime,,x50,3936.00,termin waznosci 12 mies. od daty produkcji,50.0,pcs,PLN,,[]
BI-10027,Kolumny do izolacji plazmidowego DNA,BioPrime,Nucleic Acid Isolation,50 szt.,1885.00,"przechowywanie 4C, chronic przed swiatlem",50.0,pcs,PLN,,[]
BI-10033,Zestaw do oczyszczania RNA z komorek,BioPrime,Nucleic Acid Isolation,50 reactions,3619,"przechowywanie 4C, chronic przed swiatlem",50.0,pcs,PLN,,[]
BI-10042,Kit izolacji DNA z probek FFPE,BioPrime,Nucleic Acid Isolation,x50,1705,termin waznosci 12 mies. od daty produkcji,50.0,pcs,PLN,,[]
BI-10049,Zestaw do izolacji mikroRNA,BioPrime,Nucleic Acid Isolation,50 test.,2151,"przechowywanie 4C, chronic przed swiatlem",50.0,pcs,PLN,,[]
BI-10054,Kit do izolacji DNA z gleby,BioPrime,,50-pack,229,temp. pokojowa,50.0,package,PLN,,[]
BI-10060,Zestaw do izolacji RNA wirusowego,BioPrime,Nucleic Acid Isolation,50 test.,4323,,50.0,pcs,PLN,,[]
BI-10065,Mix do PCR 2x,BioPrime,PCR reagents,50 szt.,3959,"przechowywanie 4C, chronic przed swiatlem",50.0,pcs,PLN,,[]
BI-10076,Polimeraza Taq,BioPrime,,50 test.,4285,termin waznosci 12 mies. od daty produkcji,50.0,pcs,PLN,,[]
BI-10084,Zestaw do qPCR z sonda TaqMan,BioPrime,,50szt,3720,przechowywanie -20C,50.0,pcs,PLN,,[]
BI-10092,Master Mix do RT-PCR,BioPrime,,50szt,3959,wymaga suchego lodu przy transporcie,50.0,pcs,PLN,,[]
BI-10099,Bufor PCR 10x,BioPrime,,50,3718,przechowywanie -20C,50.0,,PLN,,[]
BI-10106,dNTP Mix 10mM,BioPrime,PCR reagents,50 szt.,2038,termin waznosci 12 mies. od daty produkcji,50.0,pcs,PLN,,[]
BI-10111,Startery losowe do RT,BioPrime,PCR reagents,x50,1120,,50.0,pcs,PLN,,[]
BI-10121,Odczynnik SYBR Green,BioPrime,PCR reagents,50 reactions,2514,przechowywanie -20C,50.0,pcs,PLN,,[]
BI-10129,Zestaw do multiplex PCR,BioPrime,PCR reagents,50 reactions,3934,przechowywanie -20C,50.0,pcs,PLN,,[]
BI-10137,Probowki PCR 0.2ml,BioPrime,Laboratory Plasticware,50 kg,2467,"przechowywanie 4C, chronic przed swiatlem",50.0,kg,PLN,,[]
BI-10146,Koncowki do pipet 200ul,BioPrime,Laboratory Plasticware,100 op,710.00,wymaga suchego lodu przy transporcie,100.0,package,PLN,,[]
BI-10159,Probowki Eppendorf 1.5ml,BioPrime,,50 kg,4097.00,przechowywanie -20C,50.0,kg,PLN,,[]
BI-10169,Koncowki filtrowe 10ul,BioPrime,Disposable Equipment,50 op,,temp. pokojowa,50.0,package,,,[]
BI-10174,Plytki PCR 96-dolkowe,BioPrime,,10 ml,1188,,10.0,ml,PLN,,[]
BI-10182,Probowki wirowkowe 15ml,BioPrime,,50 g,3673,wymaga suchego lodu przy transporcie,50.0,g,PLN,,[]
BI-10190,Probowki wirowkowe 50ml,BioPrime,Laboratory Plasticware,50 szt,1892,temp. pokojowa,50.0,pcs,PLN,,[]
BI-10196,Koncowki do pipet 1000ul,BioPrime,Disposable Equipment,50 g,3542,temp. pokojowa,50.0,g,PLN,,[]
BI-10213,Pipeta automatyczna 100-1000ul,BioPrime,,10 -,709,"przechowywanie 4C, chronic przed swiatlem",10.0,,PLN,,[]
BI-10220,Waga analityczna,BioPrime,Measuring Equipment,10 kg,2921.00,przechowywanie -20C,10.0,kg,PLN,,[]
BI-10220-1,Waga analityczna,BioPrime,Measuring Equipment,10 kg,2921.00,przechowywanie -20C,10.0,kg,PLN,,[]
BI-10229,Spektrofotometr NanoDrop,BioPrime,,25 l,1419.00,przechowywanie -20C,25.0,l,PLN,,[]
BI-10240,Wirowka laboratoryjna,BioPrime,,1 op,1171,temp. pokojowa,1.0,package,PLN,,[]
BI-10247,Czytnik plytek ELISA,BioPrime,Measuring Equipment,100 -,3894,termin waznosci 12 mies. od daty produkcji,100.0,,PLN,,[]
BI-10255,pH-metr stolowy,BioPrime,Measuring Equipment,10 l,493.00,,10.0,l,PLN,,[]
BI-10264,Termostat blokowy,BioPrime,,25 kg,764,przechowywanie -20C,25.0,kg,PLN,,[]
BI-10273,Vortex laboratoryjny,BioPrime,Measuring Equipment,100 -,681.00,wymaga suchego lodu przy transporcie,100.0,,PLN,,[]
BI-10282,Etanol absolutny cz.d.a.,BioPrime,Laboratory Chemicals,5 kg,1997,temp. pokojowa,5.0,kg,PLN,,[]
BI-10282-1,Etanol absolutny cz.d.a.,BioPrime,Laboratory Chemicals,5 kg,1997,temp. pokojowa,5.0,kg,PLN,,[]
BI-10291,Chloroform cz.d.a.,BioPrime,Laboratory Chemicals,25 l,4368,"przechowywanie 4C, chronic przed swiatlem",25.0,l,PLN,,[]
BI-10301,Bufor TE 1x,BioPrime,Laboratory Chemicals,50 szt,752,,50.0,pcs,PLN,,[]
BI-10310,Woda wolna od nukleaz,BioPrime,Laboratory Chemicals,50 kg,368,,50.0,kg,PLN,,[]
BI-10318,Izopropanol cz.d.a.,BioPrime,Laboratory Chemicals,25 kg,3260,temp. pokojowa,25.0,kg,PLN,,[]
BI-10326,Bufor TBE 10x,BioPrime,Laboratory Chemicals,50 l,4061.00,temp. pokojowa,50.0,l,PLN,,[]
BI-10334,SDS 10% roztwor,BioPrime,Laboratory Chemicals,100 l,2911,,100.0,l,PLN,,[]
BI-10344,Agaroza do elektroforezy,BioPrime,Laboratory Chemicals,25 op,820,,25.0,package,PLN,,[]
BI-10351,Bufor PBS 1x,BioPrime,Laboratory Chemicals,10 g,3242,termin waznosci 12 mies. od daty produkcji,10.0,g,PLN,,[]
CH-10003,Zestaw do izolacji DNA z tkanek,ChemTech Supply,Nucleic Acid Isolation,50 test.,2426,przechowywanie -20C,50.0,pcs,PLN,,[]
CH-10011,Kit do izolacji RNA z krwi,ChemTech Supply,Nucleic Acid Isolation,50 rxn,2734.00,przechowywanie -20C,50.0,pcs,PLN,,[]
CH-10021,Zestaw do izolacji DNA genomowego,ChemTech Supply,Nucleic Acid Isolation,50 reactions,2554,wymaga suchego lodu przy transporcie,50.0,pcs,PLN,,[]
CH-10034,Zestaw do oczyszczania RNA z komorek,ChemTech Supply,Nucleic Acid Isolation,50 rxn,2929,wymaga suchego lodu przy transporcie,50.0,pcs,PLN,,[]
CH-10043,Kit izolacji DNA z probek FFPE,ChemTech Supply,,50,4269,wymaga suchego lodu przy transporcie,50.0,,PLN,,[]
CH-10050,Zestaw do izolacji mikroRNA,ChemTech Supply,,50 rxn,2602,przechowywanie -20C,50.0,pcs,PLN,,[]
CH-10055,Kit do izolacji DNA z gleby,ChemTech Supply,Nucleic Acid Isolation,x50,3137.00,wymaga suchego lodu przy transporcie,50.0,pcs,PLN,,[]
CH-10061,Zestaw do izolacji RNA wirusowego,ChemTech Supply,Nucleic Acid Isolation,50 reactions,3709,"przechowywanie 4C, chronic przed swiatlem",50.0,pcs,PLN,,[]
CH-10068,Mix do PCR 2x,ChemTech Supply,PCR reagents,x50,844,,50.0,pcs,PLN,,[]
CH-10078,Polimeraza Taq,ChemTech Supply,PCR reagents,50szt,4119.00,"przechowywanie 4C, chronic przed swiatlem",50.0,pcs,PLN,,[]
CH-10086,Zestaw do qPCR z sonda TaqMan,ChemTech Supply,PCR reagents,50,1195,termin waznosci 12 mies. od daty produkcji,50.0,,PLN,,[]
CH-10101,Bufor PCR 10x,ChemTech Supply,PCR reagents,50,385.00,wymaga suchego lodu przy transporcie,50.0,,PLN,,[]
CH-10107,dNTP Mix 10mM,ChemTech Supply,PCR reagents,50szt,4116,wymaga suchego lodu przy transporcie,50.0,pcs,PLN,,[]
CH-10114,Startery losowe do RT,ChemTech Supply,PCR reagents,50-pack,2585.00,,50.0,package,PLN,,[]
CH-10122,Odczynnik SYBR Green,ChemTech Supply,PCR reagents,50 szt.,4249,"przechowywanie 4C, chronic przed swiatlem",50.0,pcs,PLN,,[]
CH-10130,Zestaw do multiplex PCR,ChemTech Supply,,50,572,temp. pokojowa,50.0,,PLN,,[]
CH-10138,Probowki PCR 0.2ml,ChemTech Supply,Laboratory Plasticware,50 -,,,50.0,,,,[]
CH-10148,Koncowki do pipet 200ul,ChemTech Supply,Laboratory Plasticware,100 op,973,przechowywanie -20C,100.0,package,PLN,,[]
CH-10155,Plytki 96-dolkowe,ChemTech Supply,,5 g,2093.00,,5.0,g,PLN,,[]
CH-10160,Probowki Eppendorf 1.5ml,ChemTech Supply,Laboratory Plasticware,5 -,3405,temp. pokojowa,5.0,,PLN,,[]
CH-10170,Koncowki filtrowe 10ul,ChemTech Supply,Laboratory Plasticware,25 g,963.00,przechowywanie -20C,25.0,g,PLN,,[]
CH-10175,Plytki PCR 96-dolkowe,ChemTech Supply,Disposable Equipment,25 -,4354,,25.0,,PLN,,[]
CH-10184,Probowki wirowkowe 15ml,ChemTech Supply,Disposable Equipment,25 op,3646.00,temp. pokojowa,25.0,package,PLN,,[]
CH-10191,Probowki wirowkowe 50ml,ChemTech Supply,Laboratory Plasticware,10 szt,2002,wymaga suchego lodu przy transporcie,10.0,pcs,PLN,,[]
CH-10197,Koncowki do pipet 1000ul,ChemTech Supply,,25 szt,2676,przechowywanie -20C,25.0,pcs,PLN,,[]
CH-10205,Termocykler PCR,ChemTech Supply,Measuring Equipment,100 kg,2143,,100.0,kg,PLN,,[]
CH-10214,Pipeta automatyczna 100-1000ul,ChemTech Supply,,1 kg,3932,,1.0,kg,PLN,,[]
CH-10223,Waga analityczna,ChemTech Supply,Measuring Equipment,10 kg,817.00,temp. pokojowa,10.0,kg,PLN,,[]
CH-10232,Spektrofotometr NanoDrop,ChemTech Supply,,1 op,1223,wymaga suchego lodu przy transporcie,1.0,package,PLN,,[]
CH-10243,Wirowka laboratoryjna,ChemTech Supply,Measuring Equipment,25 ml,368,przechowywanie -20C,25.0,ml,PLN,,[]
CH-10248,Czytnik plytek ELISA,ChemTech Supply,Measuring Equipment,10 g,3040,termin waznosci 12 mies. od daty produkcji,10.0,g,PLN,,[]
CH-10248A,Czytnik plytek ELISA,ChemTech Supply,Measuring Equipment,10 g,3040,termin waznosci 12 mies. od daty produkcji,10.0,g,PLN,,[]
CH-10258,pH-metr stolowy,ChemTech Supply,Measuring Equipment,10 ml,3074.00,temp. pokojowa,10.0,ml,PLN,,[]
CH-10267,Termostat blokowy,ChemTech Supply,Measuring Equipment,1 l,3116,,1.0,l,PLN,,[]
CH-10274,Vortex laboratoryjny,ChemTech Supply,Measuring Equipment,50 l,2089,przechowywanie -20C,50.0,l,PLN,,[]
CH-10285,Etanol absolutny cz.d.a.,ChemTech Supply,Laboratory Chemicals,5 op,,wymaga suchego lodu przy transporcie,5.0,package,,,[]
CH-10293,Chloroform cz.d.a.,ChemTech Supply,Laboratory Chemicals,5 ml,,wymaga suchego lodu przy transporcie,5.0,ml,,,[]
CH-10304,Bufor TE 1x,ChemTech Supply,Laboratory Chemicals,50 op,942.00,temp. pokojowa,50.0,package,PLN,,[]
CH-10313,Woda wolna od nukleaz,ChemTech Supply,,25 l,2134,"przechowywanie 4C, chronic przed swiatlem",25.0,l,PLN,,[]
CH-10327,Bufor TBE 10x,ChemTech Supply,Laboratory Chemicals,100 szt,455,przechowywanie -20C,100.0,pcs,PLN,,[]
CH-10336,SDS 10% roztwor,ChemTech Supply,Laboratory Chemicals,50 kg,,"przechowywanie 4C, chronic przed swiatlem",50.0,kg,,,[]
CH-10345,Agaroza do elektroforezy,ChemTech Supply,,1 ml,1377.00,,1.0,ml,PLN,,[]
CH-10352,Bufor PBS 1x,ChemTech Supply,Laboratory Chemicals,50 g,4482,temp. pokojowa,50.0,g,PLN,,[]
ME-10007,Zestaw do izolacji DNA z tkanek,MedioScience,Nucleic Acid Isolation,50szt,719,wymaga suchego lodu przy transporcie,50.0,pcs,PLN,,[]
ME-10017,Kit do izolacji RNA z krwi,MedioScience,,50 szt.,3421,,50.0,pcs,PLN,,[]
ME-10023,Zestaw do izolacji DNA genomowego,MedioScience,,50 rxn,309.00,temp. pokojowa,50.0,pcs,PLN,,[]
ME-10030,Kolumny do izolacji plazmidowego DNA,MedioScience,,50szt,208,przechowywanie -20C,50.0,pcs,PLN,,[]
ME-10038,Zestaw do oczyszczania RNA z komorek,MedioScience,Nucleic Acid Isolation,50 reactions,4128,wymaga suchego lodu przy transporcie,50.0,pcs,PLN,,[]
ME-10047,Kit izolacji DNA z probek FFPE,MedioScience,Nucleic Acid Isolation,50 szt.,2325,wymaga suchego lodu przy transporcie,50.0,pcs,PLN,,[]
ME-10052,Zestaw do izolacji mikroRNA,MedioScience,Nucleic Acid Isolation,50-pack,511,termin waznosci 12 mies. od daty produkcji,50.0,package,PLN,,[]
ME-10057,Kit do izolacji DNA z gleby,MedioScience,Nucleic Acid Isolation,50szt,2335,"przechowywanie 4C, chronic przed swiatlem",50.0,pcs,PLN,,[]
ME-10063,Zestaw do izolacji RNA wirusowego,MedioScience,,50 test.,2683,temp. pokojowa,50.0,pcs,PLN,,[]
ME-10072,Mix do PCR 2x,MedioScience,PCR reagents,50-pack,4199,przechowywanie -20C,50.0,package,PLN,,[]
ME-10080,Polimeraza Taq,MedioScience,PCR reagents,50 reactions,3966,przechowywanie -20C,50.0,pcs,PLN,,[]
ME-10090,Zestaw do qPCR z sonda TaqMan,MedioScience,PCR reagents,50-pack,2216,temp. pokojowa,50.0,package,PLN,,[]
ME-10096,Master Mix do RT-PCR,MedioScience,PCR reagents,50 rxn,3185.00,przechowywanie -20C,50.0,pcs,PLN,,[]
ME-10104,Bufor PCR 10x,MedioScience,PCR reagents,50szt,4050,temp. pokojowa,50.0,pcs,PLN,,[]
ME-10109,dNTP Mix 10mM,MedioScience,PCR reagents,50 reactions,4071,temp. pokojowa,50.0,pcs,PLN,,[]
ME-10118,Startery losowe do RT,MedioScience,PCR reagents,50-pack,3999,temp. pokojowa,50.0,package,PLN,,[]
ME-10127,Odczynnik SYBR Green,MedioScience,PCR reagents,x50,897.00,"przechowywanie 4C, chronic przed swiatlem",50.0,pcs,PLN,,[]
